84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.93,179.35,209.79,198.74,201.69,190.76,193.6,194.44,196.88,182.87,192.08,196.05,190.19,193.88,171.53,185.57,202.39,186.57,192.53,202.19,200.26,191.06,191.49,194.16,,Peptide444,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,192.47,51.46,-13.12,17.32,6.27,9.22,-1.71,1.13,1.97,4.41,-9.6,-0.39,3.58,-2.28,1.41,-20.94,-6.9,9.92,-5.9,0.06,9.72,7.79,-1.41,-0.98,1.69
196.95,202.87,190,198.28,181.79,191.11,193.67,189.07,166.34,195.58,190.53,199.42,190.64,193.24,167.06,161.66,187.42,194.58,191.39,185.62,193.59,193.38,192.08,196.55,,Peptide444,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.48,10.4,-2.47,5.81,-10.68,-1.36,1.2,-3.4,-26.13,3.11,-1.94,6.95,-1.83,0.77,-25.41,-30.81,-5.05,2.11,-1.08,-6.85,1.12,0.91,-0.39,4.08
219.92,219.53,204.43,202.14,197.94,198.54,191.86,183.89,187.99,203.35,190.52,188.45,187.05,187.7,188.35,188.91,192.37,192.14,188.59,193.38,197.16,187.76,196.25,183.09,,Peptide444,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,27.45,27.06,11.96,9.67,5.47,6.07,-0.61,-8.58,-4.48,10.88,-1.95,-4.02,-5.42,-4.77,-4.12,-3.56,-0.1,-0.33,-3.88,0.91,4.69,-4.71,3.78,-9.38
186.93,192.84,179.29,187.57,185.36,187.72,187.93,183.58,185.54,183.7,186.24,191.34,184.46,185.19,188.24,188.4,193.37,193.62,188.32,197.92,186.72,185.75,193.85,187.92,,Peptide444,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-5.54,0.37,-13.18,-4.9,-7.11,-4.75,-4.54,-8.89,-6.93,-8.77,-6.23,-1.13,-8.01,-7.28,-4.23,-4.07,0.9,1.15,-4.15,5.45,-5.75,-6.72,1.38,-4.55
184.16,197.31,184.76,186.94,184.07,189.33,188.12,189.26,182.19,187.21,189.07,183.27,189.71,189.22,190.69,184.08,198.5,186.09,182.82,193.74,191.65,202.34,185.94,189.44,,Peptide444,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-8.31,4.84,-7.71,-5.53,-8.4,-3.14,-4.35,-3.21,-10.28,-5.26,-3.4,-9.2,-2.76,-3.25,-1.78,-8.39,6.03,-6.38,-9.65,1.27,-0.82,9.87,-6.53,-3.03
281.99,278.59,265.46,249.8,251.56,244.99,241.64,239.25,236.09,219.86,219.31,204.83,212.08,198.56,163.43,154.54,193.46,175.95,196.38,187.22,200.62,190.62,192.02,192.89,,Peptide444,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,89.52,86.12,72.99,57.33,59.09,52.52,49.17,46.78,43.62,27.39,26.84,12.36,19.61,6.09,-29.04,-37.93,0.99,-16.52,3.91,-5.25,8.15,-1.85,-0.45,0.42
195.37,186.16,191.52,186.35,188.16,189.69,188.62,187.89,185.72,193.23,189.97,188.14,187.73,190.58,191.85,191.54,197.7,192.33,184,192.71,197.09,194.95,194.13,196.62,,Peptide444,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2.9,-6.31,-0.95,-6.12,-4.31,-2.78,-3.85,-4.58,-6.75,0.76,-2.5,-4.33,-4.74,-1.89,-0.62,-0.93,5.23,-0.14,-8.47,0.24,4.62,2.48,1.66,4.15
200.34,251.28,196.6,244,192.38,230,196.43,225.96,195.04,219.78,191.55,199.65,190.54,200.23,184,189.73,183.62,193.6,185.69,187.87,192.32,199.07,187.56,186.06,,Peptide444,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7.87,58.81,4.13,51.53,-0.09,37.53,3.96,33.49,2.57,27.31,-0.92,7.18,-1.93,7.76,-8.47,-2.74,-8.85,1.13,-6.78,-4.6,-0.15,6.6,-4.91,-6.41
251.15,210.84,224.59,196.52,209.15,189.92,205.6,193.63,199.78,181.87,186.48,186.26,192.46,180.86,187.93,191.2,188.74,182.03,194.56,191.86,190.87,194.51,189.8,188.05,,Peptide444,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,58.68,18.37,32.12,4.05,16.68,-2.55,13.13,1.16,7.31,-10.6,-5.99,-6.21,-0.01,-11.61,-4.54,-1.27,-3.73,-10.44,2.09,-0.61,-1.6,2.04,-2.67,-4.42
193.7,190.15,187.52,188.39,195.18,190.06,183,190.74,197.6,189.14,189.44,188.37,182.74,183.79,196.26,185.4,184.75,185.25,185.49,189.75,195.34,190.2,184.89,178.53,,Peptide444,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.23,-2.32,-4.95,-4.08,2.71,-2.41,-9.47,-1.73,5.13,-3.33,-3.03,-4.1,-9.73,-8.68,3.79,-7.07,-7.72,-7.22,-6.98,-2.72,2.87,-2.27,-7.58,-13.94
